userId,movieId,rating,Adventure,Children,Fantasy,Drama,Mystery,Sci-Fi,Thriller,Crime,Action,Comedy,Romance,War,Horror,Musical,Western,Animation,Film-Noir,IMAX,Documentary
1,2,-0.12876823338896587,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,-0.12876823338896587,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,32,-0.12876823338896587,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,47,-0.12876823338896587,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,50,-0.12876823338896587,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,112,-0.12876823338896587,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,151,0.35215887544003766,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
1,223,0.35215887544003766,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,253,0.35215887544003766,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,260,0.35215887544003766,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,293,0.35215887544003766,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,296,0.35215887544003766,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1,318,0.35215887544003766,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,337,-0.12876823338896587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,367,-0.12876823338896587,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,541,0.35215887544003766,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,589,-0.12876823338896587,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,593,-0.12876823338896587,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,653,-0.6096953422179694,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,919,-0.12876823338896587,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,924,-0.12876823338896587,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1009,-0.12876823338896587,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1036,0.35215887544003766,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1079,0.35215887544003766,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,1080,-0.12876823338896587,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1089,-0.12876823338896587,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1090,0.35215887544003766,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1097,0.35215887544003766,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1136,-0.12876823338896587,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1193,-0.12876823338896587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1196,0.8330859842690412,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1198,0.8330859842690412,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1200,0.35215887544003766,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,1201,-0.6096953422179694,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1208,-0.12876823338896587,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1214,0.35215887544003766,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1215,0.35215887544003766,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
1,1217,-0.12876823338896587,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1219,0.35215887544003766,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1222,-0.12876823338896587,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1240,0.35215887544003766,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1243,-0.6096953422179694,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1246,-0.12876823338896587,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
