userId,movieId,rating,user_tag,genres
1,2,3.5,sci-fi,Adventure|Children|Fantasy
1,29,3.5,sci-fi,Adventure|Drama|Fantasy|Mystery|Sci-Fi
1,32,3.5,sci-fi,Mystery|Sci-Fi|Thriller
1,47,3.5,sci-fi,Mystery|Thriller
1,50,3.5,sci-fi,Crime|Mystery|Thriller
1,112,3.5,sci-fi,Action|Adventure|Comedy|Crime
1,151,4.0,sci-fi,Action|Drama|Romance|War
1,223,4.0,sci-fi,Comedy
1,253,4.0,sci-fi,Drama|Horror
1,260,4.0,sci-fi,Action|Adventure|Sci-Fi
1,293,4.0,sci-fi,Action|Crime|Drama|Thriller
1,296,4.0,sci-fi,Comedy|Crime|Drama|Thriller
1,318,4.0,sci-fi,Crime|Drama
1,337,3.5,sci-fi,Drama
1,367,3.5,sci-fi,Action|Comedy|Crime|Fantasy
1,541,4.0,sci-fi,Action|Sci-Fi|Thriller
1,589,3.5,sci-fi,Action|Sci-Fi
1,593,3.5,sci-fi,Crime|Horror|Thriller
1,653,3.0,sci-fi,Action|Adventure|Fantasy
1,919,3.5,sci-fi,Adventure|Children|Fantasy|Musical
1,924,3.5,sci-fi,Adventure|Drama|Sci-Fi
1,1009,3.5,sci-fi,Adventure|Children|Fantasy
1,1036,4.0,sci-fi,Action|Crime|Thriller
1,1079,4.0,sci-fi,Comedy|Crime
1,1080,3.5,sci-fi,Comedy
1,1089,3.5,sci-fi,Crime|Mystery|Thriller
1,1090,4.0,sci-fi,Drama|War
1,1097,4.0,sci-fi,Children|Drama|Sci-Fi
1,1136,3.5,sci-fi,Adventure|Comedy|Fantasy
1,1193,3.5,sci-fi,Drama
1,1196,4.5,sci-fi,Action|Adventure|Sci-Fi
1,1198,4.5,sci-fi,Action|Adventure
1,1200,4.0,sci-fi,Action|Adventure|Horror|Sci-Fi
1,1201,3.0,sci-fi,Action|Adventure|Western
1,1208,3.5,sci-fi,Action|Drama|War
1,1214,4.0,sci-fi,Horror|Sci-Fi
1,1215,4.0,sci-fi,Action|Adventure|Comedy|Fantasy|Horror
1,1217,3.5,sci-fi,Drama|War
1,1219,4.0,sci-fi,Crime|Horror
1,1222,3.5,sci-fi,Drama|War
1,1240,4.0,sci-fi,Action|Sci-Fi|Thriller
1,1243,3.0,sci-fi,Comedy|Drama
1,1246,3.5,sci-fi,Drama
1,1249,4.0,sci-fi,Action|Crime|Romance|Thriller
1,1258,4.0,sci-fi,Horror
1,1259,4.0,sci-fi,Adventure|Drama
1,1261,3.5,sci-fi,Action|Comedy|Fantasy|Horror
1,1262,3.5,sci-fi,Action|Adventure|Drama|War
1,1266,4.0,sci-fi,Drama|Western
